mi;PC;servono;V;tutti;T;2
di;E;tutti;DI;attributi;S;2
super;A;chiavi;S;e;CC;2
una;RI;singola;A;riga;S;2
cosa;S;vuol;VM;dire;V;2
valore;S;della;E+RD;chiave;S;2
vincolo;S;di;E;chiave;S;2
che;CS;dico;V;il;RD;2
perché;CS;gioco;S;sulla;E+RD;2
gioco;S;sulla;E+RD;vostra;AP;2
sulla;E+RD;vostra;AP;ignoranza;S;2
che;CS;la;RD;matricola;S;2
la;RD;matricola;S;discrimina;V;2
matricola;S;discrimina;V;uno;RI;2
discrimina;V;uno;RI;studente;S;2
di;E;quella;DD;tributo;S;2
uno;RI;studente;S;dall;E+RD;2
chi;PR;mi;PC;garantisce;V;2
significato;S;degli;E+RD;attributi;S;2
il;RD;vostro;AP;compagno;S;2
la;RD;risposta;S;è;V;2
decidere;V;se;CS;un;RI;2
è;V;una;RI;coppia;S;2
una;RI;coppia;S;di;E;2
coppia;S;di;E;attributi;S;2
nell;S;`;X;ipotesi;S;2
una;RI;singola;A;università;S;2
matricola;S;cognome;S;nome;S;2
una;RI;sola;A;chiave;S;2
sono;V;le;RD;chiavi;S;2
potrebbe;VM;non;BN;essere;V;2
data;V;di;E;nascita;S;2
super;A;chiave;S;minima;A;2
dalla;E+RD;definizione;S;di;E;2
fra;E;tutte;T;le;RD;2
il;RD;ruolo;S;di;E;2
degli;E+RD;esami;S;universitari;A;2
interi;A;compresi;V;fra;E;2
di;E;dominio;S;e;CC;2
si;PC;crea;V;un;RI;2
dei;E+RD;vincoli;S;che;PR;2
si;PC;può;VM;rappresentare;V;2
fra;E;18;N;e;CC;2
18;N;e;CC;30;N;2
e;CC;30;N;non;BN;2
30;N;non;BN;è;V;2
si;PC;dice;V;di;E;2
di;E;to;SW;plus;SW;2
i;RD;valori;S;di;E;2
il;RD;vincolo;S;sulla;E+RD;2
vincolo;S;sulla;E+RD;tributo;S;2
un;RI;altro;A;esempio;S;2
gli;RD;attributi;S;che;PR;2
detto;V;in;E;termini;S;2
dbms;S;mi;PC;aiuta;V;2
mi;PC;aiuta;V;a;E;2
deve;VM;essere;VA;compreso;V;2
essere;VA;compreso;V;fra;E;2
fra;E;0;N;e;CC;2
0;N;e;CC;30;N;2
è;V;il;RD;vantaggio;S;2
due;N;relazioni;S;una;RI;2
relazioni;S;una;RI;relazione;S;2
una;RI;relazione;S;chiamata;V;2
poi;B;c;S;';FB;2
attributo;S;che;PR;si;PC;2
vigile;A;nella;E+RD;relazione;S;2
stata;VA;registrata;V;da;E;2
registrata;V;da;E;un;RI;2
da;E;un;RI;vigile;S;2
che;PR;esiste;V;giusto;A;2
cioè;B;se;CS;il;RD;2
facciamo;V;queste;DD;ipotesi;S;2
vigili;S;che;PR;non;BN;2
`;X;altra;A;relazione;S;2
dico;V;che;CS;la;RD;2
si;PC;chiama;V;vincolo;S;2
chiama;V;vincolo;S;di;E;2
della;E+RD;chiave;S;esterna;A;2
della;E+RD;chiave;S;primaria;A;2
chiave;S;primaria;A;quindi;B;2
chiave;S;primaria;A;è;V;2
e;CC;il;RD;vincolo;S;2
questo;DD;attributo;S;è;V;2
sono;VA;tali;PD;se;CS;2
tali;PD;se;CS;solo;B;2
dominio;S;su;E;cui;PR;2
è;V;chiave;S;primaria;A;2
in;E;un;RI;`;NO;2
la;RD;relazione;S;che;PR;2
chiave;S;primaria;A;questo;PD;2
primaria;A;questo;PD;da;E;2
questo;PD;da;E;qualche;DI;2
la;RD;stessa;A;relazione;S;2
è;V;un;RI;dipendente;S;2
codice;S;fiscale;A;del;E+RD;2
è;VA;finito;V;sul;E+RD;2
finito;V;sul;E+RD;dominio;S;2
allora;B;questo;DD;attributo;S;2
dominio;S;che;PR;è;VA;2
è;VA;definito;V;su;E;2
definito;V;su;E;un;RI;2
qualche;DI;parte;S;è;V;2
ritorniamo;V;al;E+RD;concetto;S;2
un;RI;vincolo;S;di;E;2
di;E;un;RI;vigile;S;2
esterna;A;della;E+RD;relazione;S;2
una;RI;chiave;S;non;BN;2
si;PC;porta;V;dietro;B;2
porta;V;dietro;B;il;RD;2
';FB;è;V;quindi;B;2
chiave;S;esterna;A;può;VM;2
può;VM;essere;VA;ritorniamo;V;2
capo;S;di;E;un;RI;2
ingegneria;S;informatica;A;indirizzo;S;2
può;VM;essere;V;nulla;PI;2
chiave;S;primaria;A;il;RD;2
ok;V;riprendiamo;V;la;RD;1
riprendiamo;V;la;RD;lezione;S;1
la;RD;lezione;S;base;S;1
lezione;S;base;S;di;E;1
di;E;dati;S;vi;PC;1
dati;S;vi;PC;sto;V;1
vi;PC;sto;V;proiettando;V;1
sto;V;proiettando;V;il;RD;1
proiettando;V;il;RD;file;S;1
il;RD;file;S;che;PR;1
file;S;che;PR;molti;PI;1
che;PR;molti;PI;di;E;1
di;E;voi;PE;hanno;VA;1
voi;PE;hanno;VA;già;B;1
hanno;VA;già;B;compilato;V;1
già;B;compilato;V;chiedo;V;1
compilato;V;chiedo;V;a;E;1
